index,state,year,name,type,city,county,district,enroll,mmr,overall,xrel,xmed,xper
360,Wisconsin,2018-19,Milw College Prep--36th St,,Milwaukee,Milwaukee,,,-1.0,94.0,5.0,,6.0
860,Michigan,2018-19,Hoover Elementary,,,Wayne,Wayne-Westland Community School District,50.0,-1.0,94.0,,4.0,
1302,Ohio,2018-19,Fairless Elementary,Public,Navarre,Stark,,96.0,91.67,91.67,,3.13,
686,Minnesota,2017-18,St Mary Help Of Christians,,,Stearns,,12.0,91.67,-1.0,,,8.33
710,Colorado,2017-18,Bella Romero Academy Of Applied Technology,Kindergarten,,Weld,Poudre R-1,112.0,97.32,94.64,,,2.68
2430,New York,2017-18,British International School Of Ny,Private,New York,New York,,,98.1,-1.0,1.53,,
135,Oklahoma,,Westville Elementary,,Westville,Adair,,,-1.0,99.0,,1.0,
857,Tennessee,2018-19,Eagle View Elementary,,,Davidson ,,101.0,-1.0,91.1,4.0,,
1188,New Jersey,,Saint Mary,,,Monmouth,,32.0,-1.0,96.9,3.1,,
2761,California,2018-19,Oak Ridge Elementary,Public,Chino Hills,San Bernardino,,84.0,98.0,98.0,,2.0,
4054,California,2018-19,West County Mandarin,Public,Richmond,Contra Costa,,70.0,97.0,96.0,,1.0,
5932,California,2018-19,Ella Elementary,Public,Olivehurst,Yuba,,104.0,92.0,88.0,,,
334,Texas,2018-19,The Shlenker,,,Harris,,,100.0,-1.0,,,
422,Missouri,2018-19,Prodigy Leadership Academy,,Cape Girardeau,,,,61.4,-1.0,,,
1006,North Carolina,2018-19,David D. Jones Elementary,,,Guilford,,104.0,-1.0,99.0,1.0,,
24,North Carolina,2018-19,Arendell Parrott Academy,,,Lenoir,,38.0,-1.0,100.0,5.3,,
5626,California,2018-19,Whitmore Charter School Of Art And Technology,Public,Ceres,Stanislaus,,44.0,95.0,95.0,,5.0,
291,Oregon,2018-19,William Knight Elementary,,,Clackamas,,50.0,96.2962963,94.58689459,,,2.564102564
101,Iowa,2018-19,Garton Elementary,,,Polk,,563.0,-1.0,98.8,,,
2564,California,2018-19,Mary Lou Dieterich Elementary,Public,Modesto,Stanislaus,,98.0,98.0,96.0,,2.0,
